panel,candidate_id,round_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error
viability_prediction,retest_v2_6f20e63adb1d,ROUND_009,37.968311028636194,59.495,0.698497228186286,21.526688971363804,,,2.7381091344902413,,,,-21.526688971363804
viability_prediction,retest_v2_7371aa062562,ROUND_009,50.09737772279327,44.629999999999995,0.9992374487030832,5.467377722793273,,,3.917010798916086,,,,5.467377722793273
viability_prediction,cand_001149,ROUND_009,53.379627807029664,28.485,25.7532990357919,24.894627807029664,,,100.95293222030425,,,,24.894627807029664
viability_prediction,rescue_000027,ROUND_009,63.11232909226954,56.879999999999995,2.9171553972520927,6.232329092269545,,,11.435249157228203,,,,6.232329092269545
viability_prediction,cand_001152,ROUND_009,60.63482823754864,57.575,11.217318148971897,3.0598282375486363,,,43.97188714396984,,,,3.0598282375486363
viability_prediction,cand_000548,ROUND_009,62.58222938232858,40.82,6.527951535033989,21.762229382328577,,,25.589570017333237,,,,21.762229382328577
viability_prediction,cand_000290,ROUND_009,61.042974059094675,36.2425,10.63031664482287,24.800474059094675,,,41.670841247705646,,,,24.800474059094675
viability_prediction,cand_001885,ROUND_009,53.31076273642058,37.480000000000004,25.75323954208707,15.830762736420574,,,100.95269900498131,,,,15.830762736420574
viability_prediction,cand_001965,ROUND_009,53.33617625738311,14.515,25.753230892811345,38.82117625738311,,,100.95266509982046,,,,38.82117625738311
viability_prediction,cand_001923,ROUND_009,53.34176123699925,19.580000000000002,25.75323014283961,33.76176123699925,,,100.95266215993126,,,,33.76176123699925
viability_prediction,cand_001589,ROUND_009,53.37663993498721,3.4425,25.753298775302856,49.93413993498721,,,100.95293119918719,,,,49.93413993498721
viability_prediction,cand_001515,ROUND_009,53.32125267944055,31.712500000000002,25.75327043982951,21.608752679440546,,,100.95282012413168,,,,21.608752679440546
coverage,,FORMAL_COHORT,,,,,0.5,0.16666666666666666,21.0789339279233,0.04696414761482223,0.44803635738467273,,
coverage,,FORMAL_COHORT,,,,,0.68,0.3333333333333333,31.078473776935727,0.13811783989736134,0.609382412602386,,
coverage,,FORMAL_COHORT,,,,,0.8,0.3333333333333333,40.05063200365624,0.13811783989736134,0.609382412602386,,
coverage,,FORMAL_COHORT,,,,,0.9,0.5,51.40442966484755,0.2537781703934222,0.7462218296065778,,
coverage,,FORMAL_COHORT,,,,,0.95,0.5833333333333334,61.25215589891271,0.3195073356553728,0.8067425380947535,,
intact_probability,retest_v2_6f20e63adb1d,ROUND_009,0.8366705562227342,,,,,,,,,1.0,
intact_probability,retest_v2_7371aa062562,ROUND_009,0.6117937075796632,,,,,,,,,1.0,
intact_probability,cand_001149,ROUND_009,0.9874145748906062,,,,,,,,,1.0,
intact_probability,rescue_000027,ROUND_009,0.6366264733256769,,,,,,,,,0.0,
intact_probability,cand_001152,ROUND_009,0.9831457101946742,,,,,,,,,1.0,
intact_probability,cand_000548,ROUND_009,0.979181971617159,,,,,,,,,1.0,
intact_probability,cand_000290,ROUND_009,0.3056887802812487,,,,,,,,,1.0,
intact_probability,cand_001885,ROUND_009,0.9479784122954168,,,,,,,,,1.0,
intact_probability,cand_001965,ROUND_009,0.1290531695819654,,,,,,,,,1.0,
intact_probability,cand_001923,ROUND_009,0.2189233639137855,,,,,,,,,1.0,
intact_probability,cand_001589,ROUND_009,0.8556659714513493,,,,,,,,,1.0,
intact_probability,cand_001515,ROUND_009,0.9236261722724688,,,,,,,,,1.0,
