evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,viability_percent,primary,continuous,49.67163459702838,0.9858502233274996,26.3825,percent,4,4,True,,True,,23.28913459702838,23.28913459702838,542.3837902785042,23.623400437463538,47.73936815930648,51.60390103475028,False,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,intact_patch_formation_pass,gate_secondary,binary,0.8067033305916466,,1.0,binary,4,4,True,,True,,-0.19329666940835344,0.19329666940835344,0.03736360240436228,,,,,0.03736360240436228,True
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_445849cbfa02,v2_445849cbfa02,retest_priority,2,viability_percent,primary,continuous,11.027258208389108,0.9992257742484612,23.572499999999998,percent,4,4,True,,True,,-12.54524179161089,12.54524179161089,157.3830916099804,-12.55496216662989,9.068775690862125,12.985740725916092,False,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_445849cbfa02,v2_445849cbfa02,retest_priority,2,intact_patch_formation_pass,gate_secondary,binary,0.9673086942102448,,1.0,binary,4,4,True,,True,,-0.03269130578975521,0.03269130578975521,0.0010687214742392825,,,,,0.0010687214742392825,True
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,retest_v2_445849cbfa02,v2_445849cbfa02,retest_priority,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,cand_001167,v2_4b9990641d38,screening_candidate,3,viability_percent,primary,continuous,54.413487836780696,25.397963908230043,12.917499999999999,percent,4,4,True,,True,,41.4959878367807,41.4959878367807,1721.9170065502517,1.6338312782362132,4.633478576649814,104.19349709691159,True,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,cand_001167,v2_4b9990641d38,screening_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.9775254727243776,,1.0,binary,4,4,True,,True,,-0.02247452727562238,0.02247452727562238,0.0005051043762626943,,,,,0.0005051043762626943,True
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,cand_001167,v2_4b9990641d38,screening_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_008,8,formal_frozen,True,screening_only,rescue_000011,v2_cfd8fbca69e1,rescue_candidate,4,viability_percent,primary,continuous,48.081744403450195,4.13793958869859,33.555,percent,4,4,True,,True,,14.526744403450195,14.526744403450195,211.02630296317156,3.5106226400997205,39.97138280960096,56.19210599729943,False,,
